tcm,tcm_index,target_gene_id
金花清感颗粒,tcm-0001,8884
金花清感颗粒,tcm-0001,4792
金花清感颗粒,tcm-0001,699
金花清感颗粒,tcm-0001,162514
金花清感颗粒,tcm-0001,84706
金花清感颗粒,tcm-0001,4842
金花清感颗粒,tcm-0001,4843
金花清感颗粒,tcm-0001,4846
金花清感颗粒,tcm-0001,64240
金花清感颗粒,tcm-0001,64241
金花清感颗粒,tcm-0001,100043508
金花清感颗粒,tcm-0001,2805
金花清感颗粒,tcm-0001,760
金花清感颗粒,tcm-0001,774
金花清感颗粒,tcm-0001,776
金花清感颗粒,tcm-0001,8972
金花清感颗粒,tcm-0001,102636309
金花清感颗粒,tcm-0001,8989
金花清感颗粒,tcm-0001,808
金花清感颗粒,tcm-0001,4915
金花清感颗粒,tcm-0001,2875
金花清感颗粒,tcm-0001,283455
金花清感颗粒,tcm-0001,834
金花清感颗粒,tcm-0001,836
金花清感颗粒,tcm-0001,840
金花清感颗粒,tcm-0001,841
金花清感颗粒,tcm-0001,842
金花清感颗粒,tcm-0001,100416331
金花清感颗粒,tcm-0001,11082
金花清感颗粒,tcm-0001,2891
金花清感颗粒,tcm-0001,847
金花清感颗粒,tcm-0001,54101
金花清感颗粒,tcm-0001,2902
金花清感颗粒,tcm-0001,4953
金花清感颗粒,tcm-0001,100504412
金花清感颗粒,tcm-0001,2908
金花清感颗粒,tcm-0001,862
金花清感颗粒,tcm-0001,84830
金花清感颗粒,tcm-0001,93034
金花清感颗粒,tcm-0001,2931
金花清感颗粒,tcm-0001,2932
金花清感颗粒,tcm-0001,890
金花清感颗粒,tcm-0001,891
金花清感颗粒,tcm-0001,894
金花清感颗粒,tcm-0001,2946
金花清感颗粒,tcm-0001,2950
金花清感颗粒,tcm-0001,5018
金花清感颗粒,tcm-0001,5020
金花清感颗粒,tcm-0001,9120
金花清感颗粒,tcm-0001,5028
金花清感颗粒,tcm-0001,102638504
金花清感颗粒,tcm-0001,5032
金花清感颗粒,tcm-0001,942
金花清感颗粒,tcm-0001,108168111
金花清感颗粒,tcm-0001,948
金花清感颗粒,tcm-0001,102800311
金花清感颗粒,tcm-0001,958
金花清感颗粒,tcm-0001,959
金花清感颗粒,tcm-0001,441282
金花清感颗粒,tcm-0001,5066
金花清感颗粒,tcm-0001,973
金花清感颗粒,tcm-0001,9166
金花清感颗粒,tcm-0001,7124
金花清感颗粒,tcm-0001,160728
金花清感颗粒,tcm-0001,100113371
金花清感颗粒,tcm-0001,115677
金花清感颗粒,tcm-0001,3037
金花清感颗粒,tcm-0001,130013
金花清感颗粒,tcm-0001,993
金花清感颗粒,tcm-0001,994
金花清感颗粒,tcm-0001,3060
金花清感颗粒,tcm-0001,7157
金花清感颗粒,tcm-0001,23542
金花清感颗粒,tcm-0001,5111
金花清感颗粒,tcm-0001,1017
金花清感颗粒,tcm-0001,1019
金花清感颗粒,tcm-0001,1021
金花清感颗粒,tcm-0001,1026
金花清感颗粒,tcm-0001,1029
金花清感颗粒,tcm-0001,5130
金花清感颗粒,tcm-0001,132112
金花清感颗粒,tcm-0001,3091
金花清感颗粒,tcm-0001,3105
金花清感颗粒,tcm-0001,3106
金花清感颗粒,tcm-0001,3107
金花清感颗粒,tcm-0001,5175
金花清感颗粒,tcm-0001,7226
金花清感颗粒,tcm-0001,3134
金花清感颗粒,tcm-0001,3135
金花清感颗粒,tcm-0001,60482
金花清感颗粒,tcm-0001,3140
金花清感颗粒,tcm-0001,3156
金花清感颗粒,tcm-0001,1109
金花清感颗粒,tcm-0001,3162
金花清感颗粒,tcm-0001,1116
金花清感颗粒,tcm-0001,9311
金花清感颗粒,tcm-0001,3172
金花清感颗粒,tcm-0001,1128
金花清感颗粒,tcm-0001,3184
金花清感颗粒,tcm-0001,1139
金花清感颗粒,tcm-0001,5241
金花清感颗粒,tcm-0001,7299
金花清感颗粒,tcm-0001,445582
金花清感颗粒,tcm-0001,29850
金花清感颗粒,tcm-0001,54454
金花清感颗粒,tcm-0001,7358
金花清感颗粒,tcm-0001,5313
金花清感颗粒,tcm-0001,79054
金花清感颗粒,tcm-0001,5328
金花清感颗粒,tcm-0001,167127
